ID,Since,Last tweeted at,Tweets,Favorites,Listed,Following,Followers,Screen name,Name,Verified,Protected,Bio,Status,Location,URL
14705603,2008-05-08 20:50:25 +0000,2015-05-11 19:03:58 +0000,74144,18,2302,431,149248,680News,680 NEWS Toronto,true,false,"Latest from 680 NEWS.
Join the conversation: #680NEWS",2 Toronto police officers hurt in struggle with suspect http://t.co/rHZqT6GHbx,Toronto,http://www.680NEWS.com
742143,2007-02-01 07:44:29 +0000,2015-05-11 18:44:58 +0000,201074,0,87853,61,9890479,BBCWorld,BBC News (World),true,false,"World News, features and analysis (http://t.co/JnU7o4nQJx). For UK news, follow @BBCNews. For breaking news, follow @BBCBreaking. Latest sport news @BBCSport.","RT @BBCNewsUS: George Zimmerman, man acquitted in death of Trayvon Martin, shot in the face, says local media http://t.co/Aesc6vwRuc http://t.co/dKaNP7tz4o","London, UK",http://www.bbc.com/news
5971922,2007-05-11 19:14:39 +0000,2015-05-11 19:13:27 +0000,95826,1724,12756,211,206457,BoingBoing,Boing Boing,true,false,"Official http://t.co/mnvpclsFsL feed. Links to our blog posts, videos, podcasts, comix, and features, plus RTs and stuff from our editors. We like to have fun.",Our world is full of useless #placebo buttons. http://t.co/PipxXnbIKZ http://t.co/s9hB4n8sYQ,Directory of Wonderful Things,http://www.boingboing.net
6433472,2007-05-30 05:20:39 +0000,2015-05-11 18:48:48 +0000,111250,4895,10777,2201,1025977,CBCNews,CBC News,true,false,"Canadian breaking news and analysis from CBCNews.ca, TV and radio.",Little mermaids banned from public pools http://t.co/PmB0aMv4Qn http://t.co/eNqPSy4ckr,Canada,http://www.cbc.ca/news/
19000033,2009-01-14 22:47:52 +0000,2015-05-11 19:21:24 +0000,51261,770,3200,1017,196291,CBCToronto,CBC Toronto,true,false,Your source for breaking Toronto news. Got a story to tell? tonews@cbc.ca #cbcto,W/b 401 west of Markham Rd in the collectors - jack knifed tractor trailer - only right lane squeezing through @CBCTrafficTO,Toronto,http://www.cbc.ca/toronto/
12993222,2008-02-02 22:56:28 +0000,2015-05-11 19:19:28 +0000,91630,67,2080,1986,226798,CityNews,CityNews Toronto,true,false,The very latest from CityNews & CityNews.ca. Join the conversation & sound off: #CityNews.,RT @cityandreap: Does this look odd to you? Vaughan new traffic light planted in the middle of the sidewalk. Find out why @CityNews @6 http://t.co/ceyJkAtwsX,"Toronto, Ontario",http://www.citynews.ca
428333,2007-01-02 01:48:14 +0000,2015-05-11 18:56:32 +0000,39981,13,164651,115,26562398,cnnbrk,CNN Breaking News,true,false,"Breaking news from reporters and editors on the CNN Digital news team. Now 26M strong. Check @cnn for all things CNN, breaking and more.","Obama administration grants conditional approval to Shell to begin oil drilling in Arctic Ocean. 
http://t.co/9quxpoS3Jv",Everywhere,http://cnn.com/
19636948,2009-01-28 04:56:13 +0000,2015-05-11 19:12:58 +0000,96140,15,5642,376,923851,CP24,CP24,true,false,Official account of CP24 - Toronto and the GTA's #1 source for breaking news. Our Twitter account is LIVE 24 hours a day.,Police trying to identify suspect after woman sexually assaulted downtown http://t.co/wU3Gw4O8ie http://t.co/eBKx6pRpX0,Toronto,http://www.cp24.com
17659340,2008-11-26 20:54:05 +0000,2015-05-11 19:15:15 +0000,56464,548,2736,106,202974,CTVToronto,CTV Toronto,false,false,"CTV News is Toronto's most popular TV news destination. Connect with us online on Twitter, Facebook or at http://t.co/GCmZSykC",#UPDATED: University Avenue street dedication honours Nelson Mandela http://t.co/AMBjRlQ89A http://t.co/advv7qninH,"Toronto, ON, Canada",http://toronto.ctvnews.ca
2303751216,2014-01-21 21:39:32 +0000,2015-05-11 18:44:22 +0000,6312,436,6119,185,450481,FiveThirtyEight,FiveThirtyEight,true,false,"The home of Nate Silver's FiveThirtyEight on Twitter. Politics, Economics, Science, Life, Sports.",Myanmar's Rohingya refugees are the world's largest group of stateless people: http://t.co/dfEvWqqwMT http://t.co/LDQTJ9zvCE,"New York, NY",http://www.fivethirtyeight.com
