ID,Since,Last tweeted at,Tweets,Favorites,Listed,Following,Followers,Screen name,Name,Verified,Protected,Bio,Status,Location,URL
793926,2007-02-25 17:48:34 +0000,2015-05-11 19:24:52 +0000,144757,7222,4865,6,75811,1Password,1Password,false,false,"A password manager and secure wallet for Mac, Windows, iOS, and Android.",@jwage @popthestack A shared vault works great between co-workers and teams. https://t.co/KavDB2gUs1,"Ontario, Canada",https://1Password.com
14749606,2008-05-12 20:54:34 +0000,2015-05-08 17:35:43 +0000,1043,1757,27858,21,4029994,Dropbox,Dropbox,true,false,"Official Dropbox account. Your stuff, anywhere. For customer support, head over to @DropboxSupport.",Try using shared folders and links in Dropbox Pro to keep your freelance career organized: http://t.co/IB9NmsAPZW http://t.co/l2Hw9p7FrB,"San Francisco, CA",https://www.dropbox.com
13837292,2008-02-22 20:49:24 +0000,2015-05-11 18:55:57 +0000,4443,1380,15654,15332,370024,evernote,evernote,true,false,"You have something to accomplish. We publish stories, tips, and tricks that transform how you work. Need help along the way?https://t.co/gLKkyPjIBa","RT @LeadTheChangeTC: Study Tip: One word: @evernote. It's a miracle made for A-type students, seriously.",Silicon Valley,http://www.evernote.com
38679388,2009-05-08 14:53:10 +0000,2015-05-08 21:54:14 +0000,747,6,17303,50,4579485,gmail,Gmail,true,false,"News, tips and tricks from the Gmail team. Need help? Fly on over to our Help Center or forum.",RT @fredwilson: Feature Friday: Google Calendar  http://t.co/3J7sgVt2og,"Mountain View, CA",http://www.gmail.com
20536157,2009-02-10 19:14:39 +0000,2015-05-11 18:35:15 +0000,6542,348,90117,444,11013775,google,Google,true,false,News and updates from Google,@Tat2Cat2 Glad it was caught in time! You may also want to add these extra security layers to your Google account: http://t.co/4iM0oCSLgp,"Mountain View, CA",http://www.google.com
32468665,2009-04-17 16:30:28 +0000,2015-05-09 16:02:55 +0000,562,2,8067,38,1229395,googledrive,Google Drive,true,false,"Google Drive lets you have all your files within reach from any smartphone, tablet, or computer. Get Drive free on all your devices: http://t.co/ReoUx2aemK",Surprise Mom for #mothersday by uploading your childhood artwork to Google Drive for her. https://t.co/DZp1u0OZh2 http://t.co/R18HJIxPRF,"Mountain View, CA",http://www.google.com/drive/about
15086405,2008-06-11 16:42:10 +0000,2015-05-11 18:05:14 +0000,34499,118,6325,47,130760,iMore,iMore,false,false,"Expert iPhone, iPad, and Apple news, how-tos, app and accessory reviews. Follow and win devices, apps, accessories and more! 

Full feed: @imore_firehose",Problems with your Apple Watch? Don't panic! @iMuggle shows how to perform a factory reset. http://t.co/rhVE5WbiVj http://t.co/rurBSszgwo,,http://www.imore.com
7144422,2007-06-29 03:44:14 +0000,2015-05-11 19:01:03 +0000,34779,6,34531,51,2403226,lifehacker,Lifehacker,true,false,Don't live to geek; geek to live.,Come ask an expert -- today we're talking about repaying your student loans: http://t.co/3ydHXFhUOQ http://t.co/FVQypAMDMg,,http://lifehacker.com
972651,2007-03-12 01:28:01 +0000,2015-05-11 19:23:56 +0000,139660,514,123815,2806,5264868,mashable,Mashable,true,false,"News, resources, inspiration and fun for the connected generation. Tweets by @mashable staff.",A wild boar fell the from ceiling in the middle of a shopping mall over the weekend http://t.co/xFiqaLB4qd,,http://mashable.com
79033767,2009-10-01 23:25:50 +0000,2015-04-28 19:07:05 +0000,1534,3,3859,102,48271,reederapp,Reeder,false,false,Mostly announcements and updates here. Please use email for support and other questions.,"Still working on Reeder 3, a free update for Mac and iOS. Time for another screenshot. http://t.co/izZOEg7sgC","Chur, Switzerland",http://reederapp.com
2459371,2007-03-27 10:48:31 +0000,2015-05-11 19:00:54 +0000,78903,1535,10717,1288,4613364,Skype,Skype,true,false,The latest news and updates from the team at Skype. Follow the link below to discover all the wonderful things Skype has to offer.,@eunibobbie04 Love it! Glad we can help you two celebrate the special day together. :),Everywhere,http://www.skype.com
14078275,2008-03-04 15:32:41 +0000,2015-05-11 17:20:41 +0000,1918,40,501,10,6257,SmileSoftware,Smile,false,false,"Mac & iOS productivity software, developers of PDFpen, DiscLabel, TextExpander. For fastest support: support@smilesoftware.com.",ICYMI: Check out a report on the #SmileSponsored CocoaConf Yosemite: http://t.co/VkjxRrULtx,Bay Area and Portland,http://www.smilesoftware.com
