ID,Since,Last tweeted at,Tweets,Favorites,Listed,Following,Followers,Screen name,Name,Verified,Protected,Bio,Status,Location,URL
74580436,2009-09-15 22:49:25 +0000,2016-01-16 18:30:02 +0000,23899,40,20597,633,8139121,AppleMusic,Apple Music,true,false,All the ways you love music. All in one place. Available now on the new iOS.,"The gentlemen of @3doorsdown return with #InTheDark.
#UsAndTheNight coming soon!
https://t.co/3LUOIeriKZ https://t.co/WzuTQeR4U4","Cupertino, CA ",http://apple.co/AppleMusic
9695312,2007-10-25 21:33:23 +0000,2016-01-16 22:00:03 +0000,103393,4624,16354,2891,3541144,billboard,billboard,true,false,"Your destination for the world's most popular music charts, news, videos, reviews & more. Follow: @billboardbiz | @billboarddance | @billboardlatin",Watch Chris Stapleton and Adam Driver's #SNL promos https://t.co/A9dX9wkYpN https://t.co/AeY2QqwT7p,Worldwide!,http://billboard.com
456354916,2012-01-06 04:46:03 +0000,2016-01-16 22:06:00 +0000,47395,21412,856,1491,65175,CBCMusic,CBC Music,true,false,CBC Music is Canada's music service.  Connect with the music you love. https://t.co/h3Wgc5isWs | https://t.co/fayEi557fu,#PianoHero contestant James Schumacher dressed as a vampire for his video. https://t.co/4zwnzwnoUp https://t.co/VH2mIQ5K1I,Canada,http://www.cbcmusic.ca
15235629,2008-06-25 19:44:26 +0000,2016-01-16 20:10:38 +0000,21459,1685,1955,2382,93426,CBCRadio3,CBC Radio 3,true,false,The best in new and emerging Canadian music. Listen online: https://t.co/PRqvHPCOWn or on SiriusXM 162. Subscribe to our podcast: https://t.co/68M2QorMIU,"Listen: Ohbijou singer @CaseyMecija has released her first solo album, Psychic Materials: https://t.co/7U6kGvupPN https://t.co/2irliwax9P",Canada,http://www.cbcmusic.ca/radio3
15178186,2008-06-20 09:23:52 +0000,2016-01-16 22:04:32 +0000,30222,249,6181,437,377270,guardianmusic,Guardian music,true,false,Squashing music into 140 characters since 2008,Céline Dion's brother dies at 59 – days after death of singer's husband https://t.co/aS70XTS3YD,"Glastonbury, England",http://www.theguardian.com/music
18695490,2009-01-06 21:08:58 +0000,2016-01-15 23:03:23 +0000,3635,8963,184,463,4723,HrishiHirway,Hrishikesh Hirway,false,false,@songexploder + @wearemoors,"@BATHSmusic I've only ever seen the original Patlabor movie, from 1989. (Back in 1995! I old.) Did you watch everything everything?",Los Angeles,http://theoneamradio.com
19966033,2009-02-03 11:48:44 +0000,2016-01-16 20:02:01 +0000,6036,664,2980,707,102513,MOJOmagazine,MOJO Magazine,true,false,Music of substance,".@PhilAlexanderUK's #MOJORocks is on @PlanetRockRadio! Music from Bowie, Mick Ronson &amp; more https://t.co/9XLdgKJXo2 https://t.co/x4iAcC5FU6",UK,http://www.mojo4music.com
2367911,2007-03-26 22:30:49 +0000,2016-01-16 22:41:09 +0000,151613,12522,28367,31990,13316682,MTV,MTV,true,false,"The official Twitter account for MTV, USA! Tweets by @Kaitiii | Snapchat/KiK: MTV",RT @Shannara: The journey has begun. Log onto the @MTV App on your @RokuPlayer to watch the first 4 episodes of #Shannara. https://t.co/mVVD0EzgRB,NYC,http://mtv.com
19063323,2009-01-16 11:52:57 +0000,2016-01-16 21:56:41 +0000,100931,1937,14762,2289,810763,NME,NME,true,false,First for music news. Updated by @itsmikelike @ztubbz @ddavidrenshaw @charliegunn. Join us here: https://t.co/uTG5YwXph0,Will Forte shaved half of his hair/beard off and still had the courage to leave the house https://t.co/me99rkeCqd https://t.co/asLU5QBUck,London,http://www.nme.com
251433567,2011-02-13 03:50:28 +0000,2016-01-16 22:40:04 +0000,46530,613,2971,1488,272310,NoiseyMusic,Noisey,true,false,Music by VICE.,“Get Dark” with @thezolas in their infectious new dance-pop track: https://t.co/p5wTzf7xOS https://t.co/XIYIqwxI7E,,http://noisey.vice.com
