ID,Since,Last tweeted at,Tweets,Favorites,Listed,Following,Followers,Screen name,Name,Verified,Protected,Bio,Status,Location,URL
1666038950,2013-08-12 21:08:31 +0000,2016-01-11 01:11:49 +0000,1241,11809,1964,1813,146786,BoredElonMusk,Bored Elon Musk,false,false,Thoughts and inventions from Elon in his downtime. This is a futuristic hyper-parody account. Email me at boredelon(at)gmail,TV that decodes bleeped out audio and instantly displays subtitles.,Mars,
2404966634,2014-03-22 19:42:02 +0000,2016-01-06 21:03:57 +0000,212,166,120,0,4151,BuzzFeedJS,BuzzFeedJS,false,false,Your Daily Source Of All Things JavaScript,I'm Just Glad No One's Arguing Over Semicolons Anymore,,
1198988510,2013-02-19 23:39:47 +0000,2016-01-11 05:03:12 +0000,10388,43,710,1,870846,CommonWhiteGirI,Common White Girl,false,false,maybe I should Instagram that,MEREDITH GREY WHY ARE YOU WITH DRAKE YOU HAVE PATIENTS https://t.co/ytMkpYxIev,,
773009000,2012-08-22 06:21:58 +0000,2016-01-11 02:35:20 +0000,7819,3564,234,456,6680,GonzoHacker,GonzoHacker,false,false,"For every moment of triumph, for every instance of beauty, many souls must be trampled.",Some lucky bastard is going to wake up Thursday morning a brand new Republican,,https://favstar.fm/users/GonzoHacker
3033204133,2015-02-20 18:42:30 +0000,2016-01-08 17:42:08 +0000,328,251,256,1,14569,honest_update,Honest Status Page,false,false,"These are the things we probably ought to say when updating incident status. Snark and compassion. Now, about your data…",*slightly changes tint of green check mark circle to convey depressed success rate*,The Incident Review Meeting,
278523798,2011-04-07 13:00:59 +0000,2016-01-07 13:05:07 +0000,480,211,426,25,16387,NeckbeardHacker,Neckbeard Hacker,false,false,Fat guy who knows C++. Hire me to replace @HipsterHacker's code with a set of very small shell scripts.,wchar_t[140] ought to be enough for anybody.,Third cubicle on the right.,http://medriscoll.com/post/9117396231/the-guild-of-silicon-valley
2317524115,2014-01-29 17:29:23 +0000,2016-01-04 11:30:22 +0000,382,0,500,1,24758,PHP_CEO,PHP CEO,false,false,CEO OF A PHP COMPANY. DISAPPOINTING HUSBAND. DISAPPOINTED FATHER.,"YOU HAVE TO GIVE YOURSELF PERMISSION TO FAIL

BECAUSE YOU'RE NOT GETTING IT FROM ME",PHPCEO@OUTLOOK.COM,https://medium.com/@PHP_CEO
3981786520,2015-10-17 19:36:53 +0000,2016-01-11 07:42:06 +0000,122,1,54,1,3085,realDonaldJS,Trump on JavaScript,false,false,,"We need to train developers to get into the daily habit of introducing hard-to-detect bugs for QA to track down.
Get your money's worth!!!",,
3698000303,2015-09-18 16:00:57 +0000,2016-01-01 17:59:05 +0000,82,41,4,17,163,sadpubliccloud,Sad Public Cloud,false,false,we're trying here.,False https://t.co/vRg7FiMrDx,Northern Virgina,https://pagefulloflies.io
1081562149,2013-01-12 02:17:49 +0000,2016-01-11 04:26:01 +0000,6613,56682,781,1,101952,Seinfeld2000,Seinfeld Current Day,false,false,Imagen Seinfeld was never canceled and still NBC comedy program today? https://t.co/GCOoEYISti,JERY: I GOT JIGGY WITH IT,,
353789193,2011-08-12 16:52:27 +0000,2015-12-31 23:15:17 +0000,8679,31364,1993,1554,75624,StartupLJackson,Startup L. Jackson,false,false,Don't be telling me about social media. I'm the social media fucking master.,@rossgeesman @EricaJoy hire a VP of Sales. If you want product focused on revenue…CEO.,SoMa,http://StartupLJackson.com
2436389418,2014-04-10 02:54:26 +0000,2016-01-11 14:05:38 +0000,28123,33379,2897,4473,109599,SwiftOnSecurity,SecuriTay,false,false,"I make stupid jokes, talk about consumer technology security, and use Oxford commas. See website link for ethics statement.",RT @OwenJones84: Sorry @guardian I can't write my column today because my cat literally won't let me https://t.co/EetLx0OIAq,WELCOME TO NEW YORK,https://twitter.com/swiftonsecurity/status/570638981009948673
3322440543,2015-06-13 06:31:52 +0000,2016-01-09 22:08:00 +0000,49,92,12,2,2894,taylorasemojis,taylor as emoji,false,false,faces of taylor,https://t.co/62cxUpHhI1,,http://taylorasemoji.tumblr.com
2788623833,2014-09-28 07:56:15 +0000,2015-10-08 18:38:24 +0000,110,111,3,950,503,Toronto_Stats,Toronto Stats ,false,false,scientifically sound numbers gleaned from the world's best city plus little facts you never knew,Toronto is about to become the least productive city in the developed world #ComeTogether  #BlueJays,Toronto,
2442900458,2014-04-14 00:35:28 +0000,2016-01-11 01:26:35 +0000,3962,1761,38,594,1625,TTCwelps,TTCwelps,false,false,Award-winning local transit parody.,ALERT: Customers may experience weather-related delays on the branch lines. #TTC https://t.co/B8IxRTareu,Toronto,
2953470179,2014-12-31 17:40:30 +0000,2016-01-06 22:59:26 +0000,133,30,25,76,1734,vendorexcuses,Vendor Excuses,false,false,"Tweeting only premium excuses, deflections, denials, defeatism, back-pedaling, ignorance, and misplaced aggression.","RT @nikitab: ""We could hash the seed""
""It's still deterministic""
""What if we hash it twice?"" 
#realworldcrypto",The world's infrastructure,
