ID,Since,Last tweeted at,Tweets,Favorites,Listed,Following,Followers,Screen name,Name,Verified,Protected,Bio,Status,Location,URL
253536357,2011-02-17 12:57:16 +0000,2016-04-25 14:42:26 +0000,2289,1128,5992,111,376585,ESA_Rosetta,ESA Rosetta Mission,true,false,I am an ESA space probe at comet 67P/Churyumov-Gerasimenko. I'm studying the comet up close and have sent @philae2014 to its surface,"RT @markmccaughrean: We won a prize! Thx, @AFOlomouc for ""Contribution to popularization of science"" award to @esa_rosetta &amp; @esa 😊👍🚀 https://t.co/5lV56Ex4Xf",,http://rosetta.esa.int
138725262,2010-04-30 11:52:22 +0000,2016-04-25 07:01:51 +0000,1350,44,3646,513,253177,HUBBLE_space,HUBBLE,true,false,The official feed of ESA/Hubble. The Hubble Space Telescope is the space-based observatory which has revolutionised modern astronomy.,A glittering sphere of stars — @ESA #Hubble Picture of the Week. https://t.co/JQttlmLMJ1 https://t.co/Kt7atKuZNf,space,http://www.spacetelescope.org
50115087,2009-06-23 21:54:57 +0000,2016-04-25 15:29:13 +0000,9644,1130,7084,150,492196,NASA_Johnson,Johnson Space Center,true,false,"NASA's JSC is the lead center for the International Space Station and the Orion spacecraft, and the home of the Mission Control Center and NASA astronaut corps.","RT @NASAWebbTelescp: Here's the first #JWST primary mirror segment uncovered! Watch the progress on our Webbcam: 
https://t.co/SfjXmVtkeo https://t.co/R3kStu8y1N","Houston, TX",http://www.nasa.gov/johnson
180200031,2010-08-19 01:53:16 +0000,2016-04-22 21:54:01 +0000,116,7,4670,159,353838,NASAVoyager,NASA Voyager,true,false,"The official account for NASA’s twin Voyager 1 & 2 spacecraft, the longest operating spacecraft in deep space.",How about some perspective this #EarthDay? Here's how I &amp; other @NASA @NASASolarSystem robots saw planet Earth https://t.co/KMpzC2KJKp,Interstellar space,http://voyager.jpl.nasa.gov/
19725644,2009-01-29 18:40:26 +0000,2016-04-23 16:13:38 +0000,4932,5,41309,47,5114358,neiltyson,Neil deGrasse Tyson,true,false,Astrophysicist,"JUST POSTED @StarTalkRadio “Racing Extinction"" w/ @LeilaniMunter &amp; @eugenemirman on @iTunesPodcasts &amp; https://t.co/6BZlEf7tBS",New York City,http://www.haydenplanetarium.org/tyson/
208442526,2010-10-27 08:49:45 +0000,2016-02-12 12:52:09 +0000,788,352,5432,87,454374,Philae2014,Philae Lander,true,false,On 12 November 2014 I landed on comet #67P as part of @ESA_Rosetta. I am operated by @DLR_en's Lander Control Center LCC in Cologne.,"It’s cold &amp; dark on #67P &amp; chances of communicating with @ESA_Rosetta are decreasing, but I won’t give up just yet. https://t.co/HAJIbi59KO",Interplanetary Space,http://dlr.de/en/rosetta
1451773004,2013-05-23 15:25:28 +0000,2016-04-25 16:34:47 +0000,4632,2181,5490,233,572761,Space_Station,Intl. Space Station,true,false,"NASA's page for updates from the International Space Station, the world-class lab orbiting Earth 250 miles above. For the latest research, follow @ISS_Research.","Astronaut runs @LondonMarathon. 1/2 the crew relaxes, other 1/2 busy w/@ISS_Research today. https://t.co/JKY06sd749 https://t.co/yX209108Ul",Low Earth Orbit,http://www.nasa.gov/station
82853372,2009-10-16 11:14:51 +0000,2016-04-25 14:21:59 +0000,5924,1070,1934,418,182814,spacegovuk,UK Space Agency,true,false,Official Twitter channel of the UK Space Agency. The Agency is at the heart of UK efforts to explore and benefit from space.,"RT @OpenUniversity: Can #bacteria survive in space? @RealDMitchell finds out in our last 60 second adventure. Funded by @spacegovuk
https://t.co/us2EwXVYE8","Swindon, England",http://www.gov.uk/ukspaceagency
714296275,2012-07-24 13:32:18 +0000,2016-04-25 14:07:03 +0000,1788,0,94,10,2315,SpaceWeatherCA,Space Weather Canada,true,false,#Geomagnetic activity in #Canada. Terms of use: http://t.co/9W1BC170Ht Français: @MeteoSpatialeCA,"25 Apr 14:00 UT Stormy geomagnetic activity possible: polar cap zone, next 6 hours https://t.co/K1YKyzRxat",Canada,http://www.spaceweather.gc.ca/index-eng.php
34743251,2009-04-23 21:53:30 +0000,2016-04-22 19:01:05 +0000,2942,43,14054,519,1430857,SpaceX,SpaceX,true,false,"Official Twitter for SpaceX, the future of space travel. SpaceX designs, manufactures and launches the world’s most advanced rockets and spacecraft.",Happy Earth Day from all of us at SpaceX https://t.co/b2ZYyiP4Rr,"Hawthorne, CA",http://www.spacex.com
