ID,Since,Last tweeted at,Tweets,Favorites,Listed,Following,Followers,Screen name,Name,Verified,Protected,Bio,Status,Location,URL
793926,2007-02-25 17:48:34 +0000,2016-01-11 15:52:48 +0000,173217,8492,5171,8,85982,1Password,1Password,true,false,"A password manager and secure wallet for Mac, Windows, iOS, and Android.",@mgill25 Me too. ❤️🔐,"Ontario, Canada",https://agilebits.com/onepassword
1278508478,2013-03-18 19:02:41 +0000,2016-01-10 18:50:23 +0000,298,389,103,628,4126,bourbonsass,Bourbon,false,false,A simple and lightweight mixin library for Sass. By @thoughtbot.,@johite Here’s slightly updated and clarified CodePen: https://t.co/bshIEPJfAD,,http://bourbon.io
69426451,2009-08-27 22:37:09 +0000,2016-01-11 06:53:05 +0000,21392,69432,1333,544,26621,CaseyNewton,Casey Newton,true,false,"Silicon Valley editor @verge. Freakishly tall, anime hair. My Starbucks name is Tasty. (DMs open but pitches are ignored. Email me instead.)","RIP David Bowie. A brilliant career, with no finer moment than the time he made fun of Ricky Gervais on Extras https://t.co/yBafYnrwAX",San Francisco,http://cnewton.org/
12652542,2008-01-24 19:11:46 +0000,2016-01-11 12:09:13 +0000,21258,1641,3257,0,36646,culturedcode,Cultured Code,false,false,We make Things.,"@ChrisKerner89 Gibt's noch, und wir arbeiten nach wie vor mit Hochdruck daran :)","Stuttgart, Germany",http://culturedcode.com
2353,2006-07-18 18:14:53 +0000,2016-01-11 00:19:03 +0000,31104,2524,901,3119,13803,davidcrow,David Crow,false,false,Simple caveman. Comfy with uncertainty. Product and community. Sounding board: @streetcontxt @upverter @analyzeRE @send_with_us Photo https://t.co/i881gEAL67,RT @cwhogg: this is a great market map from @BessemerVP from this TC post:  https://t.co/bOJpU9QJhw https://t.co/pG8AOVQFIX,"Toronto, Canada",http://davidcrow.ca/
14749606,2008-05-12 20:54:34 +0000,2016-01-09 01:05:41 +0000,2136,2917,28432,26,4281327,Dropbox,Dropbox,true,false,"Official Dropbox account. Your stuff, anywhere. For customer support, head over to @DropboxSupport.",@eileenberedo  😊,"San Francisco, CA",https://www.dropbox.com
44196397,2009-06-02 20:12:29 +0000,2016-01-11 09:00:43 +0000,1517,224,24302,50,3204938,elonmusk,Elon Musk,true,false,"Tesla, SpaceX, SolarCity & PayPal",Sad to hear that David Bowie died. He was amazing.,1 AU,
299364430,2011-05-15 23:37:59 +0000,2016-01-11 07:52:36 +0000,14408,185678,2145,81116,260769,Everette,Everette Taylor,true,false,building x growing companies,"Prayers up for the family and loved ones of David Bowie, rest in peace","Los Angeles (via Richmond, VA)",http://everettetaylor.com
13837292,2008-02-22 20:49:24 +0000,2016-01-11 12:53:42 +0000,5532,3637,16253,17231,417380,evernote,evernote,true,false,"You have something to accomplish. We publish stories, tips, and tricks that transform how you work. Need help along the way? https://t.co/xWcLR37rOB",RT @HubSpot: Too many ideas swimming around your head? These tools can help keep you organized.  https://t.co/vAEq6HC3h9 https://t.co/fMSymKvRUR,Silicon Valley,http://www.evernote.com
2350159980,2014-02-18 14:01:52 +0000,2016-01-09 19:04:36 +0000,1132,178,64,661,791,fullstackTO,Full Stack Toronto,false,false,Full Stack Toronto is a non-profit organisation that puts on events for web professionals. #webdev #ux #devops #backend #frontend #business and more!,RT @dan_jenkins: @fullstackTO @useTito I'll be getting my talk in soon,"Toronto, Ontario, Canada",http://fsto.co
38679388,2009-05-08 14:53:10 +0000,2016-01-08 18:56:38 +0000,850,39,17973,56,5122014,gmail,Gmail,true,false,"News, tips and tricks from the Gmail team. Need help? Fly on over to our Help Center or forum.",Organize your mail in 1 place this year. Add accounts in Gmail on your new phone #getsetup https://t.co/I8kL0Jq2BX https://t.co/HOwgBXg2ye,"Mountain View, CA",http://www.gmail.com
41901265,2009-05-22 21:07:12 +0000,2015-12-26 09:32:59 +0000,530,253,220,353,5520,gnupg,GNU Privacy Guard,false,false,"GnuPG (aka GPG or often wrongly PGP) encrypts your data and communications. It is free, secure, and  the standard to keep mail content private.",GnuPG status update for November and December: https://t.co/JkjZbWMYdi #32C3 #Tor #tofu #gpgol,Europe,http://www.gnupg.org
20536157,2009-02-10 19:14:39 +0000,2016-01-09 01:35:06 +0000,8279,423,92418,442,13573287,google,Google,true,false,News and updates from Google,"@mikeysjqueen If you don't notice anything, you should be ok. Add extra layers of security to your Google acct here: https://t.co/4iM0oCSLgp","Mountain View, CA",http://www.google.com
32468665,2009-04-17 16:30:28 +0000,2016-01-04 18:31:10 +0000,646,2,8917,40,1497059,googledrive,Google Drive,true,false,Google Drive is a safe place for all your files. Use Drive for free on all your devices. Visit http://t.co/ReoUx29Gxc to get started.,Don't lose anything in 2016. Back up files and photos in Drive on your new device #getsetup https://t.co/UxwG1fwvb6 https://t.co/pspJJx2Hhj,"Mountain View, CA",http://www.google.com/drive
2892261,2007-03-29 20:50:40 +0000,2016-01-10 07:39:04 +0000,902,84,1412,16,34679,Hak5,Hak5,false,false,"Hak5 isn’t your typical tech show. Damn the warranties, it’s time to Trust your Technolust. Follow the hosts here: @hak5darren & @snubs",@mmmbud Yes and we will be again on Wednesday.,The Internets,http://www.hak5.org
1688461,2007-03-20 23:44:33 +0000,2016-01-10 02:13:43 +0000,10637,172,1793,287,34929,hak5darren,Darren Kitchen,false,false,"Host, producer and founder of the online web series Hak5.",@acedtect @ClintA you're right I misspoke https encrypts everything past the domain,"San Francisco, CA",http://darrenkitchen.com
15086405,2008-06-11 16:42:10 +0000,2016-01-11 15:39:21 +0000,36094,123,6686,45,143909,iMore,iMore,false,false,"Expanding your Apple universe with expert analysis, how-tos, and reviews for Mac, iPhone, iPad, Watch, TV, and beyond.

Standard feed: @imore_headlines","On @iMore show 492 @settern @Georgia_Dow @reneritchie talks headsets jacks, cyber security, and iMore 2016! iMore https://t.co/td2C5rE7Nv","Cupertino, CA",http://www.imore.com
235193328,2011-01-07 15:53:54 +0000,2016-01-08 03:47:43 +0000,151,1155,62,129,781,indiewebcamp,IndieWebCamp,false,false,"Rather than posting content on 3rd-party silos, we should all begin owning our data when we create it.","RT @kevinmarks: “As Maimonides, were he alive today, would tell us: he who excludes a single user destroys a universe.” https://t.co/kMiWh7ufuW #indieweb","Portland, Oregon",http://indiewebcamp.com
7144422,2007-06-29 03:44:14 +0000,2016-01-11 15:56:06 +0000,39838,8,36026,58,2965137,lifehacker,Lifehacker,true,false,Don't live to geek; geek to live.,AT&amp;T is bringing back unlimited data! But you have to bundle it with home internet service. https://t.co/ONGvzjT2j7 https://t.co/IqcZVBSdxJ,,http://lifehacker.com
2558446890,2014-06-10 07:44:06 +0000,2016-01-11 13:16:51 +0000,6340,4733,436,116,16753,MacAffinity,Affinity,false,false,"Affinity is the next-generation imaging and design suite for creative professionals, built exclusively for Mac.","@kaunteya28 No, sorry.",,https://affinity.serif.com/
