ID,Since,Last tweeted at,Tweets,Favorites,Listed,Following,Followers,Screen name,Name,Verified,Protected,Bio,Status,Location,URL
29286315,2009-04-06 20:33:40 +0000,2009-05-23 14:38:05 +0000,12,0,2,2,8,barrielug,barrielug,false,false,The Barrie Ontario Canada Linux Users Group,"via @jimgeary: VLC player ""playlist"" ""additional sources"" shoutcast radio and tv choices nice find! :)",Barrie Ontario Canada,http://www.barrielug.org
1087955275,2013-01-14 03:58:28 +0000,2016-01-01 05:08:43 +0000,215,86,35,220,479,diybioto,DIYbio.TO,false,false,Toronto's Bio-Enthusiast group. Everyone welcome! Also on http://t.co/5E3eRO84. See our Open Science work here: https://t.co/eBLNIqOFZ2,Happy New Year! To another year of Erlenmeyer flasks and cats! https://t.co/VAi3vTCsSm,1266 Queen Street West,http://diybio.to
2350159980,2014-02-18 14:01:52 +0000,2016-01-11 17:53:12 +0000,1133,179,64,661,793,fullstackTO,Full Stack Toronto,false,false,Full Stack Toronto is a non-profit organisation that puts on events for web professionals. #webdev #ux #devops #backend #frontend #business and more!,"Even though we don't sell you on companies, it still feels good to see these submissions https://t.co/XJ7iNVyVnA https://t.co/6vltvuGkZS","Toronto, Ontario, Canada",http://fsto.co
3590140283,2015-09-08 18:13:49 +0000,2016-01-08 18:53:00 +0000,9,0,2,0,12,HomebrewHosting,HomebrewHostingClub,false,false,"A meetup of people in the Greater Toronto Area passionate about self hosting, in the same structure as the Homebrew Computer Club meetings.",RT @ownClouders: https://t.co/ZaF36osAwh covered Western Digital and ownCloud teaming up for a #RaspberryPi private #cloud device! https://t.co/CTRG3t1S6w,"Toronto, Ontario",http://homebrewhosting.club/
235193328,2011-01-07 15:53:54 +0000,2016-01-08 03:47:43 +0000,151,1155,62,129,781,indiewebcamp,IndieWebCamp,false,false,"Rather than posting content on 3rd-party silos, we should all begin owning our data when we create it.","RT @kevinmarks: “As Maimonides, were he alive today, would tell us: he who excludes a single user destroys a universe.” https://t.co/kMiWh7ufuW #indieweb","Portland, Oregon",http://indiewebcamp.com
2823148764,2014-09-21 02:04:24 +0000,2016-01-02 07:09:07 +0000,54,0,2,101,36,KWCrypto,KWCrypto,false,false,"for anyone who wants to ask questions, get answers, and participate in the discussion about interesting cryptography",RT @jeffvoskamp: Started off the New Year by updating my web and email certificates using @letsencrypt . We'll get this fully automated yet.,Kitchener-Waterloo,http://sobac.com/kwcrypto
2466742274,2014-04-27 22:06:02 +0000,2015-02-21 23:36:08 +0000,28,2,3,23,23,LondonLUG,LOLUG,false,false,"We are the London, Ontario user group for Linux enthusiasts.",New LOLUG meeting posted at http://t.co/AhFfIvP3Cn #lolug,"London, Ontario, Canada",http://lolug.ca
1081629660,2013-01-12 03:02:53 +0000,2016-01-06 23:43:51 +0000,25,0,2,31,14,MississaugaLUG,Mississauga LUG,false,false,Your Official Linux User Group for Mississauga.,Tango =&gt; Samba =&gt; Zouk =&gt; 😊,,http://mississaugalug.ca/
21758480,2009-02-24 14:37:12 +0000,2016-01-06 02:04:57 +0000,917,60,82,362,1596,mtlpy,Montréal-Python,false,false,"Montreal's official python community
For hacks and glory!","Montréal-Python 56, Appel aux présentateurs, 18 Janvier, au bureaux de @LightspeedPOS à Montreal https://t.co/TTiJjc3ALa","Montréal, Quebec, Canada",http://montrealpython.org
633427329,2012-07-12 01:04:14 +0000,2015-11-18 16:59:03 +0000,112,0,6,3,222,PythonToronto,Python Toronto,false,false,Python (neé Django) Toronto is Toronto's largest monthly Python meetup. Come join us! We'd love to meet you.,RT @wolever: Python Toronto folk: the OWASP meetup tonight is talking about attacking the Python interpreter: https://t.co/XhS9CGP5FJ &lt;— will be v good!,Toronto,http://www.meetup.com/Python-Toronto/
2463654482,2014-04-25 20:26:57 +0000,2016-01-11 22:13:16 +0000,1208,2193,103,582,2317,TechTorontoOrg,Tech Toronto,false,false,Supporting the growing Toronto technology community. Knowledge + Network. Entrepreneurs | Startups | Finance | Ideas,Mayor Tory (@JohnTory) to address @TechTorontoOrg event at City Hall! https://t.co/ZKCktzx0JN https://t.co/wybxJBs1v5,Toronto,http://www.techtoronto.org
822787866,2012-09-14 06:22:36 +0000,2016-01-12 14:31:30 +0000,3410,34,53,193,894,TorontoCrypto,Toronto Crypto,false,false,"Toronto's Privacy Advocacy                        IRC: http://t.co/xBSMKvyrhv  #torontocrypto
BTC: 1MGb1NfA6DtkCpBGTPA17MG6nrenoTo6ns",Simple Yet Effective eBay Bug Allowed Hackers to Steal Passwords https://t.co/bIKFhNc6Qz,"Toronto, Canada",https://www.torontocrypto.org/
179160660,2010-08-16 17:13:20 +0000,2016-01-11 16:38:46 +0000,971,40,63,119,854,torontojs,Toronto JavaScript,false,false,"News, information, and events related to Toronto's JavaScript community. Join us on Slack: http://t.co/sxCSNtotMg",Tomorrow we have a Hack Night hosted by @dann at @bentomiso! Always a fun time :) RSVP here: https://t.co/YxYFqGU16Y,"Toronto, ON",http://torontojs.com
2352270954,2014-02-19 21:29:08 +0000,2016-01-11 16:49:09 +0000,14,2,1,2,31,xvzfio,xvzf,false,false,"A flutter of wind, a night out for computer workers, and a podcast, a few times a year.

@phillmv & @wolever.","🎉 HEY TORONTO: You're invited this Thursday, January 21st to attend another xvzf: https://t.co/UYcOuHVA82",Toronto,http://xvzf.io
